Country|Colors|Count|Secrets
El Salvador|blue,white|2|great at hand stands
Finland|blue,white|2|secret inventors of the macarena
Ukraine|blue,yellow|2|break dancing masters
United States|red,white,blue|3|cheese burgers
Australia|red,white,blue|3|sunburn magic powers
Fiji|red,white,blue|3|scrumptius water
Norway|red,white,blue|3|dah its cold
Canada|red,white|2|eh its cold
Japan|red,white|2|gukkon
China|red,yellow|2|only first world when you're looking
Germany|red,yellow,black|3|fat steamy wieners
